"Notes","State","State Code","Year","Year Code","Eclampsia","Eclampsia Code",Births
,"Arizona","04","2010","2010","Yes","1",769
,"Arizona","04","2011","2011","Yes","1",772
,"Arizona","04","2012","2012","Yes","1",634
,"Arizona","04","2013","2013","Yes","1",604
,"Arizona","04","2014","2014","Yes","1",341
,"Arizona","04","2015","2015","Yes","1",150
,"Arizona","04","2016","2016","Yes","1",160
,"Arizona","04","2017","2017","Yes","1",146
,"Arizona","04","2018","2018","Yes","1",130
,"Arizona","04","2019","2019","Yes","1",116
,"Arizona","04","2020","2020","Yes","1",105
,"Arizona","04","2021","2021","Yes","1",138
,"Arizona","04","2022","2022","Yes","1",146
,"Arizona","04","2023","2023","Yes","1",127
,"Arkansas","05","2010","2010","Yes","1",76
,"Arkansas","05","2011","2011","Yes","1",64
,"Arkansas","05","2012","2012","Yes","1",61
,"Arkansas","05","2013","2013","Yes","1",87
,"Arkansas","05","2014","2014","Yes","1",102
,"Arkansas","05","2015","2015","Yes","1",91
,"Arkansas","05","2016","2016","Yes","1",132
,"Arkansas","05","2017","2017","Yes","1",251
,"Arkansas","05","2018","2018","Yes","1",80
,"Arkansas","05","2019","2019","Yes","1",77
,"Arkansas","05","2020","2020","Yes","1",202
,"Arkansas","05","2021","2021","Yes","1",239
,"Arkansas","05","2022","2022","Yes","1",377
,"Arkansas","05","2023","2023","Yes","1",180
,"California","06","2010","2010","Yes","1",445
,"California","06","2011","2011","Yes","1",525
,"California","06","2012","2012","Yes","1",566
,"California","06","2013","2013","Yes","1",437
,"California","06","2014","2014","Yes","1",382
,"California","06","2015","2015","Yes","1",339
,"California","06","2016","2016","Yes","1",389
,"California","06","2017","2017","Yes","1",422
,"California","06","2018","2018","Yes","1",420
,"California","06","2019","2019","Yes","1",397
,"California","06","2020","2020","Yes","1",366
,"California","06","2021","2021","Yes","1",347
,"California","06","2022","2022","Yes","1",271
,"California","06","2023","2023","Yes","1",255
,"Florida","12","2010","2010","Yes","1",311
,"Florida","12","2011","2011","Yes","1",225
,"Florida","12","2012","2012","Yes","1",218
,"Florida","12","2013","2013","Yes","1",222
,"Florida","12","2014","2014","Yes","1",204
,"Florida","12","2015","2015","Yes","1",232
,"Florida","12","2016","2016","Yes","1",216
,"Florida","12","2017","2017","Yes","1",229
,"Florida","12","2018","2018","Yes","1",283
,"Florida","12","2019","2019","Yes","1",294
,"Florida","12","2020","2020","Yes","1",285
,"Florida","12","2021","2021","Yes","1",297
,"Florida","12","2022","2022","Yes","1",308
,"Florida","12","2023","2023","Yes","1",328
,"Georgia","13","2010","2010","Yes","1",285
,"Georgia","13","2011","2011","Yes","1",222
,"Georgia","13","2012","2012","Yes","1",273
,"Georgia","13","2013","2013","Yes","1",268
,"Georgia","13","2014","2014","Yes","1",213
,"Georgia","13","2015","2015","Yes","1",181
,"Georgia","13","2016","2016","Yes","1",185
,"Georgia","13","2017","2017","Yes","1",250
,"Georgia","13","2018","2018","Yes","1",274
,"Georgia","13","2019","2019","Yes","1",286
,"Georgia","13","2020","2020","Yes","1",218
,"Georgia","13","2021","2021","Yes","1",239
,"Georgia","13","2022","2022","Yes","1",213
,"Georgia","13","2023","2023","Yes","1",188
,"Illinois","17","2010","2010","Yes","1",298
,"Illinois","17","2011","2011","Yes","1",214
